iso3,year,ip_pay,ip_rec,comm_comp_imp_pct,ca_gdp_pct,exp_gs,exp_gspi,gdp,goods_exp,goods_imp,imp_gs,imp_gspi,ins_fin_exp_pct,net_prim_inc,net_sec_inc,net_trd_goods,remit_paid,remit_rec_gdp_pct,remit_rec,pers_trans_rec,prim_inc_pay,sec_inc_rec,serv_exp,trd_serv_gdp_pct,trans_serv_exp_pct,travel_serv_exp_pct
ABW,1960,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1961,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1962,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1963,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1964,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1965,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1966,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1967,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1968,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1969,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1970,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1971,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1972,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1973,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1974,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1975,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1976,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1977,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1978,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1979,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1980,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1981,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1982,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1983,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1984,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1985,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1986,,,64.4198895,-4.600550964,246424581,253687150.8,405586592.2,29553072.63,210446927.4,261005586.6,274636871.5,.311695003,-6368715.084,2290502.793,-180893854.7,,,,,13631284.92,18379888.27,216871508.4,65.93663912,2.805255023,72.90056672
ABW,1987,,,51.95729537,-4.627720504,305195530.7,314134078.2,487709497.2,45139664.8,249832402.2,312625698.3,333798882.7,.277121375,-12234636.87,-2905027.933,-204692737.4,,,,,21173184.36,15418994.41,260055865.9,66.19702176,2.494092374,82.5349087
ABW,1988,,,60.74705111,-7.425093633,413575419,424469273.7,596648044.7,87374301.68000001,354636871.5,439888268.2,467821229.1,.297996232,-17039106.15,-949720.6703999999,-267262569.8,,,,,27932960.89,14860335.2,326201117.3,68.96067416,2.68196609,83.62733344999999
ABW,1989,,,62.85554936,-6.714859438,458826815.6,472234636.9,695530726.3,107486033.5,397430167.6,497597765.4,522290502.8,.389569089,-11284916.2,3351955.307,-289944134.1,,,,,24692737.43,17988826.82,351340782.1,64.91566265,3.5061218,87.19987279
ABW,1990,,,59.7515528,-20.67932798,566480446.9,581284916.2,764804469.3,155474860.3,580837988.8,715754189.9,738324022.3,.358841919,-7765363.128,-1117318.436,-425363128.5,,,,,22569832.4,33798882.68,411005586.6,71.38056976,3.229577273,85.03466087
ABW,1991,,,36.35676493,-24.02306214,1351452514,1369385475,872067039.1,878770949.7,1402849162,1550670391,1576368715,3.258480085,-7765363.128,-2513966.48,-524078212.3,16480446.93,.294682887,2569832.325,1731843.575,25698324.02,38100558.66,472681564.2,71.15310698,8.501359176999999,82.17704763
ABW,1992,,,31.28276826,4.568764569,1640391061,1654860335,958659217.9,1069217877,1446703911,1606536313,1628324022,4.037558685,-7318435.754,17262569.83,-377486033.5,4692737.43,.273892774,2625698.328,1731843.575,21787709.5,45921787.71,571173184.4,76.25291375,12.12050078,77.88536775999999
ABW,1993,,,32.5074331,3.852501289,1758435754,1771787709,1083240223,1154357542,1546480447,1715586592,1740167598,3.557754555,-11229050.28,10111731.84,-392122905,4301675.978,.309437864,3351955.414,2402234.637,24581005.59,43407821.23,604078212.3,71.37699845,12.26579118,77.25885508
ABW,1994,,,45.54116785,6.506726457,1921005587,1930558659,1245810056,1296759777,1607318436,1835977654,1858268156,3.826740648,-12737430.17,8770949.721000001,-310558659.2,3687150.838,.313901343,3910614.491,3631284.916,22290502.79,47486033.52,624245810.1,68.46188341,17.51745123,72.59710041
ABW,1995,,,86.89128988,-.021150592,1992346369,2008715084,1320670391,1346145251,926927374.3,2017932961,2042513966,3.388951327,-8212290.503,33519553.07,419217877.1,4972067.039,.101522843,1340782.123,1340782.123,24581005.59,71452513.97,646201117.3,131.5397631,7.581914066,80.55675629
ABW,1996,,,80.46992012,-5.008097166,2505586592,2524748603,1379888268,1734860335,768826815.6,2559217877,2590223464,2.167294868,-11843575.42,-3631284.916,966033519.6,7206703.911,.117408907,1620111.732,558659.2179,31005586.59,18379888.27,770726257,185.6032389,8.437228182,80.42186141000001
