iso3,year,gdp_pc_ppp_c21intl,gdp_pc_ppp_cintl,gdp_ppp_c21intl,gdp_ppp_cintl,gni_pc_ppp_c21intl,gni_pc_ppp_cintl,gni_ppp_c21intl
ABW,1960,,,,,,,
ABW,1961,,,,,,,
ABW,1962,,,,,,,
ABW,1963,,,,,,,
ABW,1964,,,,,,,
ABW,1965,,,,,,,
ABW,1966,,,,,,,
ABW,1967,,,,,,,
ABW,1968,,,,,,,
ABW,1969,,,,,,,
ABW,1970,,,,,,,
ABW,1971,,,,,,,
ABW,1972,,,,,,,
ABW,1973,,,,,,,
ABW,1974,,,,,,,
ABW,1975,,,,,,,
ABW,1976,,,,,,,
ABW,1977,,,,,,,
ABW,1978,,,,,,,
ABW,1979,,,,,,,
ABW,1980,,,,,,,
ABW,1981,,,,,,,
ABW,1982,,,,,,,
ABW,1983,,,,,,,
ABW,1984,,,,,,,
ABW,1985,,,,,,,
ABW,1986,,,,,,,
ABW,1987,,,,,,,
ABW,1988,,,,,,,
ABW,1989,,,,,,,
ABW,1990,34579.22064,21732.85831,2169949833,1363802058,,21490,
ABW,1991,35552.08442,23099.94009,2342740155,1522193652,,22880,
ABW,1992,35947.37226,23889.04502,2480548423,1648463551,,23630,
ABW,1993,36124.30335,24575.66066,2661819292,1810857556,,24130,
ABW,1994,37118.27205,25791.04318,2880192320,2001255995,,25340,
ABW,1995,37009.64797,26254.7428,2953554956,2095259749,,25930,
ABW,1996,35997.85442,26004.49563,2988577872,2158919232,,25640,
ABW,1997,37070.01331,27240.80279,3199179219,2350908521,,26790,
ABW,1998,36889.4232,27412.75519,3262906371,2424685610,,27310,
ABW,1999,36842.95517,27765.65326,3303302517,2489440705,,27020,
ABW,2000,39244.82985,30245.70697,3555110647,2739898103,,29820,
ABW,2001,40505.533,31920.23907,3703785432,2918754740,,30960,
ABW,2002,39846.06276,31888.50874,3668786383,2936102553,,29680,
ABW,2003,39832.57908,32507.08431,3709528424,3027319748,,31660,
ABW,2004,41834.92758,35059.2731,3980091340,3335469124,,33900,
ABW,2005,40608.81969,35098.79767,3964842111,3426871110,,27980,
ABW,2006,40335.41769,35937.59465,4009542195,3572376597,,34400,
ABW,2007,41272.27939,37768.56601,4133418781,3782521886,,32340,
ABW,2008,41710.49704,38904.99925,4209298230,3926175809,,37310,
ABW,2009,36590.56011,34339.93916,3717747269,3489075178,,33150,
ABW,2010,35508.59457,33729.51191,3616124254,3434946034,,31800,
ABW,2011,36435.55533,35324.07206,3737960057,3623931877,,32030,
ABW,2012,35530.26004,34095.64717,3699055373,3549697827,,32580,
ABW,2013,37255.35345,35901.65331,3936959476,3793907214,,33740,
ABW,2014,36275.68096,35657.2872,3874496656,3808447874,,34340,
ABW,2015,35682.30025,35972.86644,3850334291,3881688127,,34460,
ABW,2016,36021.83084,36117.50821,3916545601,3926948315,,34480,
ABW,2017,38558.00456,37524.92848,4192604626,4080273098,,35450,
ABW,2018,39419.55535,39287.01952,4293104934,4278670722,,36710,
ABW,2019,38435.42691,39110.27619,4197263925,4270959491,,37340,
ABW,2020,28521.68885,28976.46355,3097084627,3146467247,,28180,
ABW,2021,35696.30937,35696.30937,3844492519,3844492519,34420.75415,34420,3707115222
ABW,2022,38877.67444,41649.45079,4171963244,4469402564,,40060,
ABW,2023,40516.80856,44967.34451,4349844051,4827649140,,41080,
ABW,2024,,,,,,,
AFG,1960,,,,,,,
AFG,1961,,,,,,,
AFG,1962,,,,,,,
AFG,1963,,,,,,,
AFG,1964,,,,,,,
AFG,1965,,,,,,,
AFG,1966,,,,,,,
AFG,1967,,,,,,,
AFG,1968,,,,,,,
AFG,1969,,,,,,,
AFG,1970,,,,,,,
AFG,1971,,,,,,,
AFG,1972,,,,,,,
AFG,1973,,,,,,,
AFG,1974,,,,,,,
AFG,1975,,,,,,,
AFG,1976,,,,,,,
AFG,1977,,,,,,,
AFG,1978,,,,,,,
AFG,1979,,,,,,,
AFG,1980,,,,,,,
AFG,1981,,,,,,,
AFG,1982,,,,,,,
AFG,1983,,,,,,,
AFG,1984,,,,,,,
AFG,1985,,,,,,,
AFG,1986,,,,,,,
AFG,1987,,,,,,,
AFG,1988,,,,,,,
AFG,1989,,,,,,,
AFG,1990,,,,,,,
AFG,1991,,,,,,,
AFG,1992,,,,,,,
AFG,1993,,,,,,,
AFG,1994,,,,,,,
AFG,1995,,,,,,,
AFG,1996,,,,,,,
AFG,1997,,,,,,,
AFG,1998,,,,,,,
AFG,1999,,,,,,,
AFG,2000,1617.826475,813.550256,32567375970,16377032684,,790,
AFG,2001,1454.110782,747.6880455,29495629513,15166333854,,750,
AFG,2002,1774.308743,926.507941,37931379899,19806995164,,940,
AFG,2003,1815.9282,966.962032,41281584746,21981995256,,980,
AFG,2004,1776.918207,971.6335031,41865355064,22892320780,,980,
AFG,2005,1908.114782,1076.087353,46566715049,26261445894,,1090,
AFG,2006,1929.723897,1121.834471,49061481754,28521625037,,1140,
AFG,2007,2155.353068,1286.949843,55844878996,33344679966,,1300,
AFG,2008,2191.504356,1333.747267,58036781460,35321124705,,1330,
AFG,2009,2565.022086,1570.698145,70451155677,43140953896,,1570,
AFG,2010,2848.586061,1765.538028,80569661677,49936634725,,1770,
AFG,2011,2757.052587,1744.060623,80913174278,51184181904,,1740,
