iso3,year,parl_wom_pct,unpaidwork_fem_pct,unpaidwork_male_pct,gbv_12mo_wmn_pct,spgeq_idx_gro,stock_traded_gdp_pct,stock_traded_cus,stock_turnover_pct,wbl_score,wmn_decisions3_pct,wmn_decisions_all3_pct,wmn_beat_any_pct,wmn_beat_argue_pct,wmn_beat_burn_pct,wmn_beat_out_pct,wmn_beat_negl_pct,wmn_beat_sex_pct
ABW,1960,,,,,,,,,,,,,,,,,
ABW,1961,,,,,,,,,,,,,,,,,
ABW,1962,,,,,,,,,,,,,,,,,
ABW,1963,,,,,,,,,,,,,,,,,
ABW,1964,,,,,,,,,,,,,,,,,
ABW,1965,,,,,,,,,,,,,,,,,
ABW,1966,,,,,,,,,,,,,,,,,
ABW,1967,,,,,,,,,,,,,,,,,
ABW,1968,,,,,,,,,,,,,,,,,
ABW,1969,,,,,,,,,,,,,,,,,
ABW,1970,,,,,,,,,,,,,,,,,
ABW,1971,,,,,,,,,,,,,,,,,
ABW,1972,,,,,,,,,,,,,,,,,
ABW,1973,,,,,,,,,,,,,,,,,
ABW,1974,,,,,,,,,,,,,,,,,
ABW,1975,,,,,,,,,,,,,,,,,
ABW,1976,,,,,,,,,,,,,,,,,
ABW,1977,,,,,,,,,,,,,,,,,
ABW,1978,,,,,,,,,,,,,,,,,
ABW,1979,,,,,,,,,,,,,,,,,
ABW,1980,,,,,,,,,,,,,,,,,
ABW,1981,,,,,,,,,,,,,,,,,
ABW,1982,,,,,,,,,,,,,,,,,
ABW,1983,,,,,,,,,,,,,,,,,
ABW,1984,,,,,,,,,,,,,,,,,
ABW,1985,,,,,,,,,,,,,,,,,
ABW,1986,,,,,,,,,,,,,,,,,
ABW,1987,,,,,,,,,,,,,,,,,
ABW,1988,,,,,,,,,,,,,,,,,
ABW,1989,,,,,,,,,,,,,,,,,
ABW,1990,,,,,,,,,,,,,,,,,
ABW,1991,,,,,,,,,,,,,,,,,
ABW,1992,,,,,,,,,,,,,,,,,
ABW,1993,,,,,,,,,,,,,,,,,
ABW,1994,,,,,,,,,,,,,,,,,
ABW,1995,,,,,,,,,,,,,,,,,
ABW,1996,,,,,,,,,,,,,,,,,
ABW,1997,,,,,,,,,,,,,,,,,
ABW,1998,,,,,,,,,,,,,,,,,
ABW,1999,,,,,,,,,,,,,,,,,
ABW,2000,,,,,,,,,,,,,,,,,
ABW,2001,,,,,,,,,,,,,,,,,
ABW,2002,,,,,,,,,,,,,,,,,
ABW,2003,,,,,,,,,,,,,,,,,
ABW,2004,,,,,,,,,,,,,,,,,
ABW,2005,,,,,,,,,,,,,,,,,
ABW,2006,,,,,,,,,,,,,,,,,
ABW,2007,,,,,,,,,,,,,,,,,
ABW,2008,,,,,,,,,,,,,,,,,
ABW,2009,,,,,,,,,,,,,,,,,
ABW,2010,,,,,,,,,,,,,,,,,
ABW,2011,,,,,,,,,,,,,,,,,
ABW,2012,,,,,,,,,,,,,,,,,
ABW,2013,,,,,,,,,,,,,,,,,
ABW,2014,,,,,,,,,,,,,,,,,
ABW,2015,,,,,,,,,,,,,,,,,
ABW,2016,,,,,,,,,,,,,,,,,
ABW,2017,,,,,,,,,,,,,,,,,
ABW,2018,,,,,,,,,,,,,,,,,
ABW,2019,,,,,,,,,,,,,,,,,
ABW,2020,,,,,,,,,,,,,,,,,
ABW,2021,,,,,,,,,,,,,,,,,
ABW,2022,,,,,,,,,,,,,,,,,
ABW,2023,,,,,,,,,,,,,,,,,
ABW,2024,,,,,,,,,,,,,,,,,
AFG,1960,,,,,,,,,,,,,,,,,
AFG,1961,,,,,,,,,,,,,,,,,
AFG,1962,,,,,,,,,,,,,,,,,
AFG,1963,,,,,,,,,,,,,,,,,
AFG,1964,,,,,,,,,,,,,,,,,
AFG,1965,,,,,,,,,,,,,,,,,
AFG,1966,,,,,,,,,,,,,,,,,
AFG,1967,,,,,,,,,,,,,,,,,
AFG,1968,,,,,,,,,,,,,,,,,
AFG,1969,,,,,,,,,,,,,,,,,
AFG,1970,,,,,,,,,26.25,,,,,,,,
AFG,1971,,,,,,,,,26.25,,,,,,,,
AFG,1972,,,,,,,,,26.25,,,,,,,,
AFG,1973,,,,,,,,,26.25,,,,,,,,
AFG,1974,,,,,,,,,26.25,,,,,,,,
AFG,1975,,,,,,,,,26.25,,,,,,,,
AFG,1976,,,,,,,,,26.25,,,,,,,,
AFG,1977,,,,,,,,,26.25,,,,,,,,
AFG,1978,,,,,,,,,26.25,,,,,,,,
AFG,1979,,,,,,,,,26.25,,,,,,,,
AFG,1980,,,,,,,,,26.25,,,,,,,,
AFG,1981,,,,,,,,,26.25,,,,,,,,
AFG,1982,,,,,,,,,26.25,,,,,,,,
AFG,1983,,,,,,,,,26.25,,,,,,,,
AFG,1984,,,,,,,,,26.25,,,,,,,,
AFG,1985,,,,,,,,,26.25,,,,,,,,
AFG,1986,,,,,,,,,26.25,,,,,,,,
AFG,1987,,,,,,,,,26.25,,,,,,,,
AFG,1988,,,,,,,,,25.625,,,,,,,,
AFG,1989,,,,,,,,,25.625,,,,,,,,
AFG,1990,,,,,,,,,25.625,,,,,,,,
AFG,1991,,,,,,,,,25.625,,,,,,,,
AFG,1992,,,,,,,,,25.625,,,,,,,,
AFG,1993,,,,,,,,,25.625,,,,,,,,
AFG,1994,,,,,,,,,25.625,,,,,,,,
